,Comment,Emotion
70,im professor looks like spitball friend dying cry pillow night feel dangerous tickles jealousy luring lair,anger
71,feel rushed finish millions things able focus task separately,anger
72,feel tortured,anger
73,dunno feels completely happy real world taught struggle going thru nothing close struggle,joy
74,feel like taken role grandmother since beloved grandma longer,joy
75,fear people ask feelings reluctant talk things,fear
76,would smiled except starting feel like uptight comments jaw would fall right head,fear
77,feel comfortable around,joy
78,feel completely unsure boundaries normalcy,fear
79,think feel gratitude think kind gracious heavenly father,joy
80,im feeling really really left somewhat dissatisfied everything,anger
81,simply said sorry got car got house feeling restless,fear
82,feeling weird feel wanna know,fear
83,incredible feeling frantic despair,fear
84,feel reluctant sell hey,fear
85,take long sip feel cold sensation iced capp,anger
86,feeling pressured even longest race one expected,fear
87,also hope understand feel angry dont support hat rule turn school event sans hat,anger
88,remember feeling terrified ever felt entire life still affecting ive never thought accounted trauma,fear
89,confess feelings still couldnt bring scared losing,fear
90,im clearly influenced dash happiness emily dickinson example use dashes instead colons semi colons enhance feelings rushed enjambment sonnet,anger
91,pray eyes read minds comprehend hearts feel offended,anger
92,im afraid going feel like lot people groups part feels like would cool small group hang,joy
93,possibility failed examination,fear
94,feel thankful part country train outdoors late year bundle wear several layers,joy
95,feeling rather grouchy morning since didnt sleep last night purpose,anger
96,feel like earthquake also shaken foundations life work,fear
97,might able recreate feeling get back cold fog awaits tomorrow night,anger
98,woke feeling positive totally mood evening feel banana shake breakfast chocolate shake dinner sunday roast tea,joy
99,would go straight point rather defination romance feeling anger feeling suspicious feelings,fear
100,feel bitchy mean terrible,anger
101,feel envious keep posts regular interesting wish could feel way,anger
102,feel like try stay faithful possible perceives real events happened mountain,joy
103,feel assaulted new kid whined,fear
104,ive long road initially feeling like rude turning food made brought sometimes eating stuff gluten free looked delicious even maybe wasnt felt good eating really mediocre wedding cake example,anger
105,wanted make sure didnt feel rushed getting century college friday afternoon,anger
106,id kick gear feel irritable motivation ever,anger
107,feel much productive college keep productivity full gear ill chalk ideas art projects summer train army attack pigeons take tiny uninhabited island,joy
108,feeling father already convinced,joy
109,feel im bothered,anger
110,p could sit beat im feeling far rebellious today basically im feeling angry world time,anger
111,im totally feeling bitchy resentful,anger
112,drove class feeling little apprehensive still sweat,fear
113,feel wronged,anger
114,feel weird feels like wanna curse everything bang head onto wall world back focus,fear
115,feel suspicious wrinkle prevention beauty products reason,fear
116,feel see frantic thus afraid,fear
117,feeling grumpy today,anger
118,feel gotten know students pretty well talk parents drop students day,joy
119,cant help feel suspicious everything,fear
120,say makes difference parent open easy talk teacher really feel perfect fit child,joy
121,feel little bit frightened islam,fear
122,im feel terrific,joy
123,feel like insecurity good thing first started writing pictured,joy
124,even deep feeling alaska cold snowy yet big open land pine trees mountains im destined live southern california,anger
125,feel like shy much taking mother described,fear
126,feel like time anyone gets ring intimidated arms legs dont even really try,fear
127,im feeling cranky cantankerous resentful like house slave basically almost mothers know rely heavily either alcohol marijuana separation divorce get space sanity away maternal responsibilities,anger
128,going crazy thank god craving fruits chocolate made go cold gross wind blowing neck feeling mad angry crappy,anger
129,im convinced makes since talking never feels sincere execution maybe themes life seem large ever fathom point already feels like emotionless pit self craving attention,joy
130,begun feel apprehensive thick black rain clouds stormed sky town,fear
131,think pop automatically seeing pictures people makes feel insecure,fear
132,shut door feel triumphant,joy
133,could even feel cold breath neck whispered hertha ran fingers across side neck,anger
134,feel like life gave plenty changes shine pissed every one,anger
135,feeling grumpy women problems grumpy five year old want get way kind grumpy think difference,anger
136,feel like im back element pleased surrounded adorable tiny garments,joy
137,know feel tortured reading,anger
138,feeling hell casual favorite blue red heavy colors casual tables otherwise could see tournament decks red popular possibly blue steps place one zendikar block rotates,joy
139,think valid complaint arent willing deal aspect imagine rather subjective makes sure cover based moments still feel dangerous despite cover,anger
140,feel like must popular choice alterations done elsewhere,joy
141,feel bothered,anger
142,noticed go start feel irritated easily annoyed things feel tiny ache inside almost unnoticeable first days tiny hair burrowed way foot,anger
143,said without emotion feeling freaked fearful anxiety welling chest,fear
144,understand extremely positive attributes overshadowed weakness subconsciously people wired feel superior others thereby treat differently,joy
145,find hard feel relaxed hours,joy
146,feeling grumpy sore,anger
147,make assumptions based see think feel wondered strange things,fear
148,feel motivation satisfied read write also understands,joy
149,walk door house feel happy,joy
150,feel terrified customers maze,fear
151,found emails scott dale reading frusterated much feel need post show world neurotic freak,fear
152,neglecting feeling people around stubborn,anger
153,sneakily listen x mas music since beginning october feel little socially acceptable prance around eartha kitt version santa baby blares ipod,joy
154,feel terrified nervous normally would type situation,fear
155,typically respond feel offended,anger
156,wearing feeling confident,joy
157,feel like fearful first threw leg top tube surgery,fear
158,feel unprotected though,fear
159,im feeling artistic today,joy
160,confess feeling bit nervous though talented people group,fear
161,managed eat usually race morning mostly jon didnt feel quite nervous,fear
162,never read posts never would spent emotional mental energy argue head feel irritated,anger
163,feel pressured times succumb fear insecurities thankfully still able hold,fear
164,feel strengths determined motivated workout room,joy
165,im feeling doubtful writing dreams know shes behind,fear
166,feel enraged want punch years old,anger
167,get actually feel like everyone buy smells amazing,joy
168,think sooner better well feel greg im already distressed mood mom,fear
169,im excited feeling kind shy smile,fear
170,wear feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed paranoid,fear
171,feel like im back arms beloved last seen long time ago,joy
172,feel satisfied happy choices today,joy
173,walked away feeling inspired excited realistic things could increase blog chances found,joy
174,feeling confused life want know life,fear
175,looked around disappointed little shown evening apparently day feel selfish,anger
176,feeling said impatient,anger
177,feel reluctant blog free period even hp plugged laptop charging making easy upload photos online,fear
178,always notice even though fabulous hiding according rest world feel keenly greatly distressed,fear
179,got stitch side first mile couldnt feel feet cold etc etc,anger
180,feel uncomfortable need sit bad presentations,fear
181,feel options violent probably costly yet equally futile whats problem keeping men women harms way,anger
182,ive collected feel vital create something precious items tribute earth power generosity,joy
183,feel though fucked majorly summer im cast alternate universe went wrong way timeline im stuck world one knew one way,anger
184,friends helping dress practise thai introduction session sat feeling helpless,fear
185,feel helpless cannot stop,fear
186,im feeling disgusted already seriously though dont really like pictures taken cause ive always referred ugly,anger
187,feel angered though,anger
188,feeling virtuous today,joy
189,feel good inside see people walking away handmade pieces,joy
190,went see pcm post follow appointment left feeling hopeful optimistic,joy
191,wish girl asked prom accepted invitation way couldve heartbroken done feeling im indecisive,fear
192,im still feeling wimpy may another skip around,fear
193,didnt feel safe room argument going room things getting rough,joy
194,im feeling pissed picking toys,anger
195,im feeling goddamn pissed,anger
196,hopped scale morning feeling none optimistic,joy
197,appreciate award feel many wonderful blogs winners,joy
198,want feel shy want fun,fear
199,left movie feeling frightened least convinced number held kind mystical power key government conspiracy,fear
200,always feel always understand people hateful harmful towards hurting taught wrongly hurt want go back undo pain childhood bigotry binds lives path,anger
201,feeling extremely pleased decide give guy another rupees,joy
202,feel tortured every moment theres nowhere go get away get back used,anger
203,im feeling brave would nice black tips,joy
204,know think way always feel skeptical painting nails red since also light skin red really going stand cute way year old wear red nails without looking like trying hard looking like hooker,fear
205,ward epileptic patient burnt whole body stinking much whole ward affected people could come near,anger
206,grown accustomed creative freedom living dance around house write songs play guitar without feeling inhibited eyes ears others,fear
207,extremely positive feeling divine energy alone take quaking boat shore,joy
208,feel long run hurts paulie could visibly see distraught result perception performance,fear
209,also wouldnt mind canon mark iii anyone feeling generous,joy
210,wonder genentech feel hostile takeover global partner,anger
211,feel run sarah mind supporting body,joy
212,feel truly impatient taking long,anger
213,feel really greedy wanting stuff mom asked make list,anger
214,feel popular dont want taught wont get married get baptized cant obviously,joy
215,dont hate honestly feel bitter towards atm,anger
216,particularly much say works well particularly feel like something clever new,joy
217,sometimes feel hated head,anger
218,feeling pretty anxious overwhelmed friend rightly noted probably boat mom grandmother great aunt flee except damn cold baltic sea,fear
219,feel like need cute pictures share,joy
220,wake feeling triumphant,joy
221,find hard feel jolly throngs people around lost fervor getting stuff cant see heart green wallet encouraged constant barrage pressure every angle shop buy,joy
222,left feeling confused blah,fear
223,got feeling look eyes sincere,joy
224,think lonely feel im grouchy agitated esily airritated,anger
225,ive decided intentionally make easier even though makes feel wimpy admitting reason girl work day job,fear
226,im watching movie called sharknado feel like intelligence insulted,anger
227,feeling apprehensive move worried blown money meant pay rego,fear
228,still feel like get walked well trying,joy
229,told cannot continue way starting feel frustrated let know calm way,anger
230,felt like boys disadvantaged missing exciting entertainments home children feel like precious opportunity get close familiar nature,joy
231,capable late ive feeling pretty bitter depressed lot gratitude general,anger
232,feel joy excitement opportunity receive vital ordinances,joy
233,worry time ive spending computer feel distracted party,anger
234,feel like cant brave,joy
235,wish could call wedding feel carefree,joy
236,didnt feel scared,fear
237,feel really contented listening song,joy
238,dont know like feel bitchy flirty,anger
239,ive urgent feeling write tell files make feel felt hesitant fear lead,fear
240,started develop feelings scared freaked promised safe,fear
241,guess avoiding boundaries conversation feeling little unsure confidence strength,fear
242,im damn tired feel little grouchy,anger
243,feeling quite something im sure,joy
244,feel rude feel free grab seat next,anger
245,im contemplating feeling skeptical,fear
246,feel irritated useless hopeless,anger
247,feel bothered getting credit equals getting debt interest,anger
248,hurt feelings angered last rant im sorry,anger
249,feeling angry feeling self conscious shorts wishing wasnt alone,anger
250,feel petty things extent humans seem feel wars started stupid little things try might cannot understand things loving two people feeling jealous lead murder unhappiness,anger
251,feeling pretty cranky morning stopping really made feel lot better,anger
252,yesterday feeling uncomfortable highschool sigh,fear
253,feel better menu tonight,joy
254,feel hesitant say anything positive trying hold breath speak none really matters know shaun passed dlpt,fear
255,feel stressed would watch movies alone walk streets alone,anger
256,slough carapace crud enveloped past thirty odd hours feel invigorated finally ready face day,joy
257,discovered gave great feeling satisfaction produce blog post delicious dish photos written recipe tangible job completed feeling rare life stay home mom,joy
258,feel lot pressure determined finish visit sister may clear conscience,joy
259,feel getting agitated something insignificant feeling bored going remember quote,anger
260,feel bitchy guess,anger
261,much regret allowed johann accompany khartoum feel convinced never rally present descara,joy
262,feel convinced many factors culture kind cooking mystique,joy
263,im feeling angry kind sad tired bored today,anger
264,im feeling much festive tree,joy
265,feel like creative professional need unpressed creative outlet get inspired,joy
266,feel distressed supportive campaign senator jackson told cnn,fear
267,feel like obnoxious posting every three seconds,anger
268,girl entered division work greeted everybody,anger
269,started feel apprehensive,fear
270,feel afraid stop shoulding,fear
271,im feeling bitter towards god,anger
272,im teenager people feel need make sarcastic bitchy comments kindly fuck,anger
273,hate seeing red windows even feel inside resonates cold uncaring world know exists behind making even aware pain inside,anger
274,understand feeling uncertain abc link,fear
275,came china feeling little frightened everything around,fear
276,tired hearing unique communications special feelings sincere,joy
277,get feeling nellie satisfied phone rang happy leslie room,joy
278,feel weird seldom people eat,fear
279,feeling fearful,fear
280,slow bit stay partly feeling like start win give partly afraid push kill trying stay,fear
281,feel bitchy today today realized couldnt count friends anymore,anger
282,feel foundations faith shaken core,fear
283,feel ending bit rushed wonder might missed certain signs small thing story happens addictive dont notice time passing,anger
284,feel like edge got point bothered wins hell whether fight even end,anger
285,feel crazily indecisive impulsive,fear
286,feel overwhelmed think country suffering,fear
287,feel heartless sometimes ability mourn lost someone relating past grandparents,anger
288,feel really free feel grow wings amp fly,joy
289,couldnt help feel infuriated left building,anger
290,feel kind heartless,anger
291,feel stubborn strong ready fight disease,anger
292,also feeling really pleased decided well cajoled bullied ordered go running evening,joy
293,im sure feeling slightly wronged police sheriff tsa always bad thing,anger
294,feeling especially lively,joy
295,need mention difference feeling vulnerable differences bit fear someway something wrong,fear
296,im already feeling less agitated,anger
297,want feel energetic bit exercise every day minutes feel awake energized focused,joy
298,feel like greedy person liking two people,anger
299,feel offended think justly,anger
300,im thinking feeling extremely cold yesterday brewing something actual weather,anger
301,im expressive feel distraught,fear
302,feeling smell going pleasant,joy
303,control issues though really kick badly feel unprotected dont trust safety net,fear
304,cant let feeling one blink im heartless person like give lot change give lot change come change decisions give lot change find threw like crap,anger
305,feel despised feel world crumbling onto,anger
306,feel bore restless,fear
307,feel frustrated anymore fierce us media campaign egypt attack us know right track,anger
308,need manage spending money wisely im feeling uncertain stressed late,fear
309,sadness,anger
310,feel uncomfortable word hero,fear
311,feel far distracted actually write anything substance,anger
312,feel wonderful im tipping backwards im ambitious im looking back im running race youre books read feel fingers touch arms im spinning around feel alright book read eyes,joy
313,heard somehow brings good feeling strange,fear
314,started explaining biggest problems bottling feelings dumping problems onto one person selfish search happiness felt everyone around found happiness,anger
315,ive somewhat difficult time trying find something feel thankful,joy
316,feel like people like arent getting caught therefore government plays catch criminals petty crimes make look better,anger
317,call someone feel like need least talk minutes rude,anger
318,think also feeling restless,fear
319,asked join creating world year old girls could grow feeling hopeful powerful,joy
320,feel strange thankful awful things sides oceans surround country happen daily basis,fear
321,knew needed get dragging feet combo feeling intimidated language barrier kids nap schedules,fear
322,im told horsey people rare find feel quite lucky,joy
323,feel study find indeed perfect example christian especially latter day saint,joy
324,feeling rebellious ate,anger
325,feel uncertain motives feel inbalance committment process counselling reconciliation,fear
326,still feeling weird day,fear
327,feel like opportunity become smart embrace knowledge really learn everything daydreamed learning,joy
328,feel useful serves reminder ive come long way since first days vertigo,joy
329,could feel blood veins go cold,anger
330,started feel super emotional time strange,joy
331,im feeling pretty rebellious right im writing engineering class,anger
332,used feel would hated whatever kept quiet god,anger
333,feel life threatened illness lose mind,fear
334,really hoping theyd get far enough ahead us could feel like navigating delighted punching second control headed onto trail woods,joy
335,feel frustrated cant tell,anger
336,wanted say something bad vibe feeling hostile didnt think good night,anger
337,feel eyes many turn away disgusted self indulgence audacity british woman admit point failure,anger
338,feel incredibly charmed people life exciting amazing chapter things,joy
339,feel jealous everyone chance meet everyday,anger
340,brought privately couple weeks ago felt targeted feeling frustrated belittled,anger
341,feel honoured clients walk doors sometimes first time trust brand new one week old bundles joy,joy
342,im sure great film guess wasnt feeling appreciative long day,joy
343,feel suspicious innanimate objects though house actually set play movie kind model come carpet looking like,fear
344,feel hesitant putting words page feeling like every time hit key tempting fate take away,fear
345,watched snow fall accumulate conifer trees shoveling shirt sleeves feeling vigorous,joy
346,feel could successful outcome explored new styles kept close remained,joy
347,feel glad still teach home,joy
348,im feeling overwhelmed give people middle finger tell f,fear
349,ive feeling satisfied performance car,joy
350,tend lose feel water pretty quickly im water every day felt race,joy
351,flatmate asking questions relationship boyfriend,anger
352,feel honoured chosen share,joy
353,feel tat us world clever depending u born u born errrr good still would good things u u dun realise lol noe quite lame hope one read img src http shared,joy
354,wonder cast caveman told perfect part feel insulted complimented,anger
355,feel highs ecstatic normal feels like thousand mile drop unhappy excruciating,joy
356,feeling festive right lovely wintry scene walked dog day href http,joy
357,ive worked plenty yet find one leaves feeling satisfied way ive spent another day never get back,joy
358,know feeling sarcastic tonight christian seems enjoy banter every time seth apologizes behavior christian tells quite alright locks eyes,anger
359,find feeling agitated kids playing ask play way little,fear
360,im feeling excited eager,joy
361,issues obvious went chinese yesterday feeling hostile towards,anger
362,find never stop feeling excited company future,joy
363,sat dave atell first trying feel rude guys eating,anger
364,im good hiding true feelings blurting sarcastic tones,anger
365,ive feeling really energetic night honestly needed,joy
366,feel beginnings cold figured deserve heinously hot bath,anger
367,im inclined believe im simply lazy feel particularly greedy,anger
368,feel almost angry fed like lab rat many years,anger
369,couldnt feel thing however kind bothered didnt feel pop,anger
370,feel insecure time,fear
371,said feeling strange uttering words space flight still pretty novel way traveling time,fear
372,actually feel insulted plot goes tangent like,anger
373,arrived gym ball sunshine made feel welcomed gym although felt like dorky unfit rotund sloth fit environment buffed fit looking fierce looking bloke,joy
374,feel impatient stop body giving positive response,anger
375,lot uncaring men life still feels strange several call come reach weakest moments,fear
376,risk feeling vulnerable feeling everyone staring examining every little dimple thigh sag arm,fear
377,also feel extremely blessed marrying loving family,joy
378,friend sometime feel insulted around,anger
379,ive also discovered feel less agitated caffeine cravings coping method unnecessary huge,fear
380,discuss even feelings beloved anyone,joy
381,feel like dissatisfied things think dissatisfied much changing still feel bad times,anger
382,feel super glued bed,joy
383,must say initial splash bad strokes could feel cold getting bones,anger
384,woke today feeling pissed,anger
385,went feeling little hostile felt like didnt really care,anger
386,feel distressed dont know though,fear
387,ive feeling anxious nauseous tired also elated nights crawl bed,fear
388,experience normal moods feel annoyed year old whines baby wants held im making dinner longer feel consumed emotions,anger
389,get feeling rest yall little appalled,anger
390,feel hated useless sometimes even ask havent killed yet,anger
391,feel extremely insulted,anger
392,drove home aware feeling like called ask ok,joy
393,conveniently uninformed specifics situation left feeling helpless wanting ever get away,fear
394,feeling quite pleased something id never done,joy
395,feel mistake rude,anger
396,ive played fps games time ive left feeling like mentally emotionally dangerous thing switch important part brain play,anger
397,feel learning purpose workings universe continue evolve transcend productive along journey,joy
398,continued way despite feeling bit strange flexy new shoes sweat soaked back,fear
399,find feeling anxious seeing everyone else feeling part peers stagnate,fear
400,cannot help feel bit anxious delivery go hopefully another vbac goes planned,fear
401,feeling security characters want someone else gets role afraid well,fear
402,go back hostel break feel anxious get back see take,fear
403,also love seeing star emerge feel like years everyone gonna know one people says obnoxious things like bah,anger
404,feeling bit adventurous put red lipstick rouge artist intense make ever,joy
405,thing feelings afraid express stand believe,fear
406,also feel little selfish get excited hitting friends friends makes feel victorious choices,anger
407,want passed away feeling good brother grandparents,joy
408,spent much morning feeling like impostor visitor someone elses life uncertain anything next,fear
409,feel petty saying shes fucked technically doesnt get gift,anger
410,feel see always possibility someone might laugh feel disgusted easier express feelings story boyfriend,anger
411,never feel brave want believe order brave make conscious choice whether want brave,joy
412,im feeling bit apprehensive dont know little note cards stand mass talent etsy,fear
413,feel like ya allah im scared puff fun man id idea,fear
414,feel like leaves artistic equivalent crack couch cushions,joy
415,start feeling anxious,fear
416,probably lazy lounge around house possibly go pool depends im feeling bothered last day go back work yeah,anger
417,know tenge get almost anywhere feeling impatient offer,anger
418,overhear victory tune geeks ringtone feel triumphant,joy
419,dont even know express made feel kids appreciative fact coming heavy think maybe music gave little something grasp,joy
420,ended changing clothes laying bed eyes closed next hour eventually started feel better,joy
421,feel like people appreciative many happiness pinnacle way non materialistic,joy
422,feeling fault wronged caused abandon,anger
423,remember feeling innocent looked day,joy
424,find im barely breathing feel little frantic,fear
425,feel afraid,fear
426,im happy report didnt feel angered urge smack olivia today way ive felt,anger
427,done music movie production last four years feel time fashion im passionate,joy
428,feel like distracted robot,anger
429,feel worthwhile document people familiar batch files,joy
430,feel grounded less fearful,fear
431,even sure formulate thoughts since put feeling slightly overwhelmed,fear
432,feel determined smash round really give something proud,joy
433,feel like really grouchy days get moods feel like world,anger
434,im hesitant make suggestions feel outcome would sincere,joy
435,im really feeling good,joy
436,head relates workplace irritable someone tiny bit lower status response someone higher making feel momentarily pressured,fear
437,began feel afraid disappointment tour rain fog continued,fear
438,felt kind ick figured nerves feeling anxious,fear
439,feeling resentful id given boring assignment,anger
440,im feeling bitchy saturday,anger
441,may attempt hair coloring session later feeling brave crazy saturday nights,joy
442,working hard shake feelings popular genre novel non literary fiction make book less legitimate less something read enjoy analyze,joy
443,say however awfully difficult feel glamorous sensational heat ash stench greasy hair basic post yeast infection mode,joy
444,drive home feel like petty thief stolen exposures crudely stuck camera ancients,anger
445,im mad upset day feel scared,fear
446,went back work feeling agitated lazy transformed state yelled dont know,anger
447,wish could say fuck people make feel insecure ever existed,fear
448,thought hope vanquished england failures watching feeling envious determined everything improve maybe one day something similar die,anger
449,might go get car wash feeling really generous car needs,joy
450,feeling apprehensive life student felt like couldnt succeed wouldnt succeed could never succeed,fear
451,feel longer things look cool,joy
452,somehow feel hesitant,fear
453,feel really irritable everything drives insane,anger
454,feeling well grouchy lazy ill sometimes forego bed favor futon couch little shut eye,joy
455,feel less bitchy morning,anger
456,feel like got resentful tired wanted talk badly,anger
457,relatives car going slowly frozen road,fear
458,forgive accepting allowing feel uncertain application within reveal feel uncertain within,fear
459,aware concerned everyone give attention marriages deaths also equal seriousness elderly woman feels helpless know oven buy,fear
460,car accident car total wipe wipe,fear
461,feel point equally important,joy
462,feel getting timid days,fear
463,im feeling agitated usual evening mood becoming norm,fear
464,could feel warmth strange stillness comforted,fear
465,times feel bit strange mom ushering though shes traumatic brain injury really toll mental physical capacities,fear
466,spring fling feeling like flower unfurling artistic soul ready sunshine,joy
467,feel acceptable put forth little effort today post,joy
468,feel like ive sooo distracted need regain focus,anger
469,hurt feel suspicious definitely get angry,fear
470,must confess im feeling little overwhelmed,fear
471,feel left hated extra,anger
472,feel im fine without,joy
473,feel like paranoid annoyance reality wouldve talked anyone way,fear
474,also feel rude see family doctor approach together ailments,anger
475,feel rediculous petty yet justified,anger
476,flung suitcase last minute break crossing explode pressurized cabin thus far feeling pretty splendid things,joy
477,feel furious pathetic furious various reasons,anger
478,im feeling kinda shaky mind full doubt good luck love,fear
479,sometimes feel vulnerable,fear
480,would feel lucky call materials kits site mine beautifully curated,joy
481,okay feeling annoyed life time,anger
482,empathize feeling dissatisfied want dont feel way,anger
483,feeling hostile enough even hate jim right,anger
484,im feeling pissed sad right,anger
485,wasnt sure could concerned people around feeling incredibly apprehensive turning back may well dancing cliff face,fear
486,love running feel strong powerful totally control,joy
487,alternated wishing would die feeling terrified something would happen leaving newborn son without mother,fear
488,feeling conflicted whether follower christ celebrate ever popular pagan originated modern day holidays,joy
489,like feeling unsure uncertain,fear
490,lose interest reading stories feel like tension resolved happen times yet kept wanting read,joy
491,stare feel utterly helpless,fear
492,feel selfish thinking way feel lonely times,anger
493,feel happy enjoying changes life looking forward unknown good times yet come autumn winter suddenly new steps journey,joy
494,havent measuring food drinking nearly enough water tracking fitness overall feel completely shaken unfocused dont feel like foundation steady moment,fear
495,admit past ive done lot time scoffing feeling superior christians,joy
496,feel strategy worthwhile,joy
497,feel benefited last year creative futures could part information learnt last year already putting practice therefore year sessions already rather inspiring start,joy
498,feel opportunity return moz gods gracious gracious way giving heat desire despite self doubt uncertainty past,joy
499,feeling need consolidate step back evaluate purpose blog providing fabulous vicarious life yall live sarcasm always come across print,joy
500,feel like part race stressed,anger
501,ive feeling disgusted ashamed,anger
502,mean sensations experience influence moods simply pointing say discomfort bodies makes us feel irritable,anger
503,im afraid already feel slightly place cru say friend bothered reach ask things going australia,anger
504,already feeling frantic,fear
505,feel weird criticizing game much feel weird praising,fear
506,im feeling little stressed cant much right im waiting couple tax returns mail letter jasons employer taking quite time,anger
507,feel comfortable decision,joy
508,feeling quite disorganised distracted wish could answer questions seem unable block forget answer logical answers uuuugh,anger
509,feeling remotely dignified tasteful comfortable,joy
510,see feel divine possibility away alone one long golden day last anywhere,joy
511,heated discussion spouse concerning new house,anger
512,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,joy
513,feel popular bloggers dont post freedom anymore always part control rare exception blog love aesthetics,joy
514,never fall love anyone feelings make dangerous,anger
515,written know would make feel shy,fear
516,still numb question everything feel terrified trust feelings,fear
517,admit feel shaken,fear
518,feel scared worthless someone love,fear
519,forgot take meds morning predictably feeling irritable less predictably sitting day thinking ima kill bitch dont get hands chocolate cupcake,anger
520,somehow feel terrified though dare slow walk place catch breath billy blanks jump screen yell face fierceness,fear
521,felt jealous feel insecure,fear
522,months medication feel fantastic,joy
523,think think really feel insecure,fear
524,occured preparing midterm social welfare thought going hard felt unprepared,fear
525,feeling energetic strong,joy
526,really need money right feel like greedy nasty aunt wanting hand everything,anger
527,entered temple feeling vaguely terrified,fear
528,feel like rude ass hole hookah,anger
529,sometimes feel like im strange world,fear
530,never feel popular,joy
531,going add photos today thank dear support feeling overwhelmed different moments,fear
532,sure pleasure living open air sky roof ground table part feeling savage returning wild native habits,anger
533,feel doubtful,fear
534,get involved tale good versus evil want feel afraid dark certain extent,fear
535,want talk limited time phone current arrangment feel hesitant bring,fear
536,feeling really ok,joy
537,im feeling strangely indecisive also dont really believe,fear
538,feel like little barbie doll get decorate hated heels thats wear,anger
539,feel like character precious,joy
540,admit thoughts go head feel doubtful times coz im scared,fear
541,feel doubtful even struggling bit faith even times seem dark feel alone know god,fear
542,see friends part feel like leaving bedroom could dangerous,anger
543,still feel expect pieces world im afraid come close place expectations upon fear hell disappoint,fear
544,feel anything strange tugging relieved say least,fear
545,ive two shots lupron im feeling fine,joy
546,im already feeling terrific,joy
547,worked today writing making sure rest house perfect could make feel peaceful sense order pm linda writing always makes feel better accomplished,joy
548,rarely feel hesitant say something sometimes even much,fear
549,feel like affirmation however petty really need,anger
550,dont know feeling less paranoid,fear
